Platform,Month,Member,VideoCount,TotalMetric,AvgMetric
DOUYIN,2024-12,LEESEO,5,242324,48465
DOUYIN,2025-01,LEESEO,8,269548,33694
DOUYIN,2025-02,LEESEO,10,194614,19461
DOUYIN,2025-03,LEESEO,2,50598,25299
DOUYIN,2025-04,LEESEO,5,131305,26261
DOUYIN,2025-05,LEESEO,3,182002,60667
DOUYIN,2025-06,LEESEO,2,117223,58612
DOUYIN,2025-07,LEESEO,1,109565,109565
DOUYIN,2025-08,LEESEO,8,502978,62872
DOUYIN,2025-09,LEESEO,12,1651122,137594
DOUYIN,2025-10,LEESEO,4,313650,78412
DOUYIN,2025-11,LEESEO,2,606378,303189
DOUYIN,2025-12,LEESEO,17,1814911,106759
DOUYIN,2026-01,LEESEO,7,2117008,302430
DOUYIN,2026-02,LEESEO,1,64344,64344
DOUYIN,2023-04,GROUP/UNKNOWN,1,150,150
DOUYIN,2023-10,GROUP/UNKNOWN,1,3514,3514
DOUYIN,2023-11,GROUP/UNKNOWN,1,135,135
DOUYIN,2024-02,GROUP/UNKNOWN,1,328,328
DOUYIN,2024-03,GROUP/UNKNOWN,1,496,496
DOUYIN,2024-04,GROUP/UNKNOWN,15,4290144,286010
DOUYIN,2024-05,GROUP/UNKNOWN,60,1454530,24242
DOUYIN,2024-06,GROUP/UNKNOWN,25,276796,11072
DOUYIN,2024-07,GROUP/UNKNOWN,14,121017,8644
DOUYIN,2024-08,GROUP/UNKNOWN,20,245099,12255
DOUYIN,2024-09,GROUP/UNKNOWN,1,26760,26760
DOUYIN,2024-10,GROUP/UNKNOWN,4,129516,32379
DOUYIN,2024-11,GROUP/UNKNOWN,9,524761,58307
DOUYIN,2024-12,GROUP/UNKNOWN,9,282927,31436
DOUYIN,2025-01,GROUP/UNKNOWN,10,398623,39862
DOUYIN,2025-02,GROUP/UNKNOWN,25,452082,18083
DOUYIN,2025-04,GROUP/UNKNOWN,14,504217,36016
DOUYIN,2025-05,GROUP/UNKNOWN,13,497188,38245
DOUYIN,2025-07,GROUP/UNKNOWN,20,771104,38555
DOUYIN,2025-08,GROUP/UNKNOWN,11,919067,83552
DOUYIN,2025-09,GROUP/UNKNOWN,21,1266268,60298
DOUYIN,2025-10,GROUP/UNKNOWN,13,1217441,93649
DOUYIN,2025-11,GROUP/UNKNOWN,5,438713,87743
DOUYIN,2025-12,GROUP/UNKNOWN,6,1418217,236370
DOUYIN,2026-01,GROUP/UNKNOWN,6,941690,156948
DOUYIN,2026-02,GROUP/UNKNOWN,18,1351063,75059
